log_id,label,user_id,age,gender,residence,city,city_rank,series_dev,series_group,emui_dev,device_name,device_size,net_type,task_id,adv_id,creat_type_cd,adv_prim_id,inter_type_cd,slot_id,site_id,spread_app_id,hispace_app_tags,app_second_class,app_score,ad_click_list_v001,ad_click_list_v002,ad_click_list_v003,ad_close_list_v001,ad_close_list_v002,ad_close_list_v003,pt_d,u_newsCatInterestsST,u_refreshTimes,u_feedLifeCycle
1169598,0,200204,7,3,16,120,4,16,5,19,124,2541,7,10699,22477,10,1509,4,16,1,162,47,14,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169565,0,200204,7,3,16,120,4,16,5,19,124,1710,7,33486,15513,2,1151,3,12,1,213,18,23,0,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169566,0,200204,7,3,16,120,4,16,5,19,124,2117,7,33486,15513,2,1151,3,44,1,213,18,23,0,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169568,0,200204,7,3,16,120,4,16,5,19,124,2117,7,16502,14798,10,1573,4,44,1,350,39,15,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169600,0,200204,7,3,16,120,4,16,5,19,124,2541,7,10699,22477,10,1509,4,16,1,162,47,14,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169602,0,200204,7,3,16,120,4,16,5,19,124,2541,7,10699,22477,10,1509,4,16,1,162,47,14,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169658,0,200204,7,3,16,120,4,16,5,19,124,2541,7,29778,19631,10,1619,4,16,1,257,49,17,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169661,0,200204,7,3,16,120,4,16,5,19,124,2541,7,29778,19631,10,1619,4,16,1,257,49,17,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169465,0,200204,7,3,16,120,4,16,5,19,124,2117,7,28464,15529,8,1060,4,40,1,344,20,13,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169463,0,200204,7,3,16,120,4,16,5,19,124,2117,7,28464,15529,8,1060,4,40,1,344,20,13,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169461,0,200204,7,3,16,120,4,16,5,19,124,2541,7,20446,20696,10,1635,4,16,1,344,20,13,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169423,0,200204,7,3,16,120,4,16,5,19,124,2541,7,11923,21714,8,1060,4,38,1,344,20,13,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169424,0,200204,7,3,16,120,4,16,5,19,124,2541,7,11923,21714,8,1060,4,38,1,344,20,13,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169426,0,200204,7,3,16,120,4,16,5,19,124,2541,7,11923,21714,8,1060,4,38,1,344,20,13,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169428,0,200204,7,3,16,120,4,16,5,19,124,2117,7,11923,21714,8,1060,4,40,1,344,20,13,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169664,0,200204,7,3,16,120,4,16,5,19,124,2541,7,13439,16188,10,1619,4,16,1,257,49,17,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169666,0,200204,7,3,16,120,4,16,5,19,124,2117,7,15265,21998,8,1482,4,35,1,257,49,17,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169669,0,200204,7,3,16,120,4,16,5,19,124,2541,7,13439,16188,10,1619,4,16,1,257,49,17,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169714,0,200204,7,3,16,120,4,16,5,19,124,2541,7,35039,16335,10,2020,4,16,1,352,19,18,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
